Category,Fund,3-Month,1-Year,3-Year,5-Year,10-Year
Debt:Income,Reliance Income Fund,-1.29%,10.29%,7.90%,7.48%,7.66%
Debt:Income,ICICI Prudential Income Plan ,-1.39%,10.64%,8.06%,7.33%,8.02%
Debt:Income,HDFC Income Fund,-1.20%,10.69%,8.17%,7.65%,7.05%
Debt:Income,ICICI Prudential Long Term Fund - Regular Plan,-1.16%,12.04%,11.71%,10.00%,-
Debt:Income,IDFC Dynamic Bond Fund,-1.19%,12.08%,9.32%,9.12%,-
Debt:Liquid,HDFC Cash Management Fund - Treasury Advantage Plan ,1.84%,8.10%,8.25%,8.24%,7.52%
Debt:Liquid,DSP BlackRock Money Manager Fund,1.95%,8.42%,8.75%,8.52%,-
Debt:Liquid,Birla Sun Life Cash Manager,1.94%,8.54%,8.76%,-,-
Debt:Liquid,ICICI Prudential Savings Fund,1.82%,8.60%,9.03%,8.92%,-
Debt:Short-Term,Reliance Regular Savings Fund - Debt Option,1.90%,9.76%,9.51%,8.58%,6.78%
Debt:Short-Term,Franklin India Low Duration Fund,2.23%,9.87%,9.78%,-,-
Debt:Short-Term,ICICI Prudential Regular Savings Fund,1.70%,9.91%,9.28%,-,-
Debt:Short-Term,HDFC Short Term Fund,1.99%,10.26%,9.34%,8.60%,8.55%
Debt:Short-Term,Franklin India Short Term Income Plan,1.73%,10.65%,10.11%,9.25%,8.94%
Equity:ELSS,Reliance Tax Saver Fund,-6.34%,18.51%,29.22%,18.09%,-
Equity:ELSS,IDFC Tax Advantage (ELSS) Fund,0.77%,30.79%,29.25%,17.03%,-
Equity:ELSS,Axis Long Term Equity Fund,-1.19%,33.43%,33.76%,21.93%,-
Equity:ELSS,Motilal Oswal MOSt Focused Long Term Fund,2.79%,-,-,-,-
Equity:Large & MidCap,Reliance Equity Opportunities Fund,-3.31%,19.12%,25.10%,17.24%,21.17%
Equity:Large & MidCap,DSP BlackRock Opportunities Fund,-1.52%,20.84%,24.53%,12.40%,18.13%
Equity:Large & MidCap,L&T Equity Fund,-1.83%,21.27%,22.75%,13.37%,18.97%
Equity:Large & MidCap,L&T India Value Fund,1.30%,26.26%,32.10%,17.53%,-
Equity:Large & MidCap,Franklin India Prima Plus Fund,-0.11%,30.04%,26.67%,16.83%,20.38%
Equity:Large & MidCap,Franklin India High Growth Companies Fund,-1.02%,36.05%,35.15%,19.61%,-
Equity:Large & MidCap,Birla Sun Life Buy India Fund,-1.13%,40.08%,33.02%,18.03%,18.78%
Equity:Large & MidCap,Motilal Oswal MOSt Focused Multicap 35 Fund,3.49%,47.08%,-,-,-
Equity:LargeCap,HDFC Top 200 Fund,-1.66%,7.35%,19.06%,11.60%,19.36%
Equity:LargeCap,ICICI Prudential Focused Bluechip Equity Fund,-1.66%,14.72%,21.24%,14.54%,-
Equity:LargeCap,Birla Sun Life Frontline Equity Fund,-0.30%,18.43%,24.82%,14.52%,20.39%
Equity:LargeCap,Axis Focused 25 Fund,0.84%,23.87%,-,-,-
Equity:LargeCap,DSP BlackRock Focus 25 Fund,-0.44%,27.93%,24.50%,11.28%,-
Equity:LargeCap,Motilal Oswal MOSt Focused 25 Fund,0.12%,29.87%,-,-,-
Equity:MidCap,ICICI Prudential Value Discovery Fund,-0.53%,26.21%,32.62%,20.06%,22.41%
Equity:MidCap,HDFC Mid-Cap Opportunities Fund,0.79%,26.72%,31.97%,20.97%,-
Equity:MidCap,IDFC Premier Equity Fund,-2.74%,28.46%,29.33%,19.37%,-
Equity:MidCap,Franklin India Prima Fund,-0.06%,33.23%,35.71%,20.16%,18.33%
Equity:MidCap,Motilal Oswal MOSt Focused Midcap 30 Fund - Regular Plan,3.91%,44.76%,-,-,-
Equity:Others,Reliance Banking Fund,1.10%,19.05%,22.74%,15.29%,21.11%
Equity:Others,Birla Sun Life MNC Fund,0.41%,53.37%,35.59%,24.09%,22.89%
Equity:SmallCap,Reliance Small Cap Fund,-1.32%,23.99%,36.99%,-,-
Equity:SmallCap,Franklin India Smaller Companies Fund,-1.20%,34.89%,41.06%,22.60%,-
Equity:SmallCap,DSP BlackRock Micro Cap Fund,0.67%,46.74%,38.09%,20.82%,-
Hybrid:Arbitrage,IDFC Arbitrage Fund - Regular Plan,1.90%,8.25%,8.71%,8.65%,-
Hybrid:Arbitrage,ICICI Prudential Equity Arbitrage Fund - Regular Plan,2.01%,8.49%,9.28%,9.13%,-
Hybrid:Arbitrage,Reliance Arbitrage Advantage Fund,2.28%,8.90%,9.05%,-,-
Hybrid:Equity-Oriented,HDFC Prudence Fund,-2.07%,8.94%,19.86%,13.43%,18.99%
Hybrid:Equity-Oriented,ICICI Prudential Balanced Advantage Fund - Regular Plan,0.87%,15.23%,19.75%,14.61%,-
Hybrid:Equity-Oriented,Reliance Regular Savings Fund - Balanced Option,0.15%,17.34%,20.58%,13.18%,14.66%
Hybrid:MIP,HDFC MF Monthly Income Plan - Long Term Plan,-0.15%,9.36%,12.03%,9.67%,11.49%
Hybrid:MIP,ICICI Prudential Monthly Income Plan,-1.01%,10.85%,10.98%,9.21%,9.20%
Hybrid:MIP,Reliance Monthly Income Plan,-0.77%,13.59%,12.08%,9.87%,11.62%
